10967292,utility,10967292,2021-04-06,17/143986,17,17143986,2021-01-07,06085,,SEPARATION,2021,,,,,,,,,
10984400,utility,10984400,2021-04-20,17/141970,17,17141970,2021-01-05,53033,,ELECTRIC DIGITAL DATA PROCESSING,2021,,,,,,,,,
10984400,utility,10984400,2021-04-20,17/141970,17,17141970,2021-01-05,53033,,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR",2021,,,,,,,,,
10984400,utility,10984400,2021-04-20,17/141970,17,17141970,2021-01-05,53033,,"CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR",2021,,,,,,,,,
10986080,utility,10986080,2021-04-20,17/148112,17,17148112,2021-01-13,,,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION",2021,,,,,,,,,
10993609,utility,10993609,2021-05-04,17/156533,17,17156533,2021-01-23,48209,48453,DIAGNOSIS; SURGERY; IDENTIFICATION,2021,,,,,,,,,
10993609,utility,10993609,2021-05-04,17/156533,17,17156533,2021-01-23,48453,48453,DIAGNOSIS; SURGERY; IDENTIFICATION,2021,,,,,,,,,
10993751,utility,10993751,2021-05-04,17/143709,17,17143709,2021-01-07,42101,26077,DIAGNOSIS; SURGERY; IDENTIFICATION,2021,,,,,,,,,
10993751,utility,10993751,2021-05-04,17/143709,17,17143709,2021-01-07,42045,26077,DIAGNOSIS; SURGERY; IDENTIFICATION,2021,,,,,,,,,
10993751,utility,10993751,2021-05-04,17/143709,17,17143709,2021-01-07,,26077,DIAGNOSIS; SURGERY; IDENTIFICATION,2021,,,,,,,,,
10993978,utility,10993978,2021-05-04,17/143106,17,17143106,2021-01-06,34025,34025,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS,2021,,,,,,,,,
10993978,utility,10993978,2021-05-04,17/143106,17,17143106,2021-01-06,34025,34025,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES",2021,,,,,,,,,
10993978,utility,10993978,2021-05-04,17/143106,17,17143106,2021-01-06,39055,34025,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS,2021,,,,,,,,,
10993978,utility,10993978,2021-05-04,17/143106,17,17143106,2021-01-06,,34025,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS,2021,,,,,,,,,
10993978,utility,10993978,2021-05-04,17/143106,17,17143106,2021-01-06,,34025,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES",2021,,,,,,,,,
10993978,utility,10993978,2021-05-04,17/143106,17,17143106,2021-01-06,39055,34025,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES",2021,,,,,,,,,
10997800,utility,10997800,2021-05-04,17/155939,17,17155939,2021-01-22,06075,06075,COMPUTER SYSTEMS BASED ON SPECIFIC COMPUTATIONAL MODELS,2021,,,,,,,,,
10997800,utility,10997800,2021-05-04,17/155939,17,17155939,2021-01-22,06075,06075,"TIME OR ATTENDANCE REGISTERS; REGISTERING OR INDICATING THE WORKING OF MACHINES; GENERATING RANDOM NUMBERS; VOTING OR LOTTERY APPARATUS; ARRANGEMENTS, SYSTEMS OR APPARATUS FOR CHECKING NOT PROVIDED FOR ELSEWHERE",2021,,,,,,,,,
10997800,utility,10997800,2021-05-04,17/155939,17,17155939,2021-01-22,06075,06075,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR",2021,,,,,,,,,
10997800,utility,10997800,2021-05-04,17/155939,17,17155939,2021-01-22,06075,06075,RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS,2021,,,,,,,,,
11000606,utility,11000606,2021-05-11,17/148856,17,17148856,2021-01-14,06059,,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES",2021,,,,,,,,,
11005800,utility,11005800,2021-05-11,17/144362,17,17144362,2021-01-08,34017,13121,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION",2021,,,,,,,,,
11005800,utility,11005800,2021-05-11,17/144362,17,17144362,2021-01-08,36061,13121,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION",2021,,,,,,,,,
11005800,utility,11005800,2021-05-11,17/144362,17,17144362,2021-01-08,34017,13121,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR",2021,,,,,,,,,
11005800,utility,11005800,2021-05-11,17/144362,17,17144362,2021-01-08,36061,13121,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR",2021,,,,,,,,,
11006699,utility,11006699,2021-05-18,17/164665,17,17164665,2021-02-01,,47119,"BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE",2021,,,,,,,,,
