10640754,utility,10640754,2020-05-05,16/798315,16,16798315,2020-02-22,08013,08013,,2020,0,0,0,0,0,0,0,0,0
10643364,utility,10643364,2020-05-05,16/742054,16,16742054,2020-01-14,48121,51059,,2020,0,0,0,0,0,0,0,0,0
10643364,utility,10643364,2020-05-05,16/742054,16,16742054,2020-01-14,48085,51059,,2020,0,0,0,0,0,0,0,0,0
10643364,utility,10643364,2020-05-05,16/742054,16,16742054,2020-01-14,48439,51059,,2020,0,0,0,0,0,0,0,0,0
10643364,utility,10643364,2020-05-05,16/742054,16,16742054,2020-01-14,48113,51059,,2020,0,0,0,0,0,0,0,0,0
10653719,utility,10653719,2020-05-19,16/773563,16,16773563,2020-01-27,37027,37027,,2020,0,0,0,0,0,0,0,0,0
10653719,utility,10653719,2020-05-19,16/773563,16,16773563,2020-01-27,37159,37027,,2020,0,0,0,0,0,0,0,0,0
10653719,utility,10653719,2020-05-19,16/773563,16,16773563,2020-01-27,37179,37027,,2020,0,0,0,0,0,0,0,0,0
10654166,utility,10654166,2020-05-19,16/793064,16,16793064,2020-02-18,53033,36061,,2020,1,0,0,0,0,0,0,1,0
10654800,utility,10654800,2020-05-19,16/819829,16,16819829,2020-03-16,,,,2020,0,0,0,0,0,0,0,0,0
10654872,utility,10654872,2020-05-19,16/732992,16,16732992,2020-01-02,,,,2020,0,0,0,0,0,0,0,0,0
10660806,utility,10660806,2020-05-26,16/743506,16,16743506,2020-01-15,06037,06037,,2020,0,0,0,0,0,0,0,0,0
10665396,utility,10665396,2020-05-26,16/746503,16,16746503,2020-01-17,47093,47001,,2020,0,0,0,0,0,0,0,0,0
10665396,utility,10665396,2020-05-26,16/746503,16,16746503,2020-01-17,47009,47001,,2020,0,0,0,0,0,0,0,0,0
10665396,utility,10665396,2020-05-26,16/746503,16,16746503,2020-01-17,47001,47001,,2020,0,0,0,0,0,0,0,0,0
10669549,utility,10669549,2020-06-02,16/739766,16,16739766,2020-01-10,06081,06081,,2020,0,0,0,0,0,0,0,0,0
10672016,utility,10672016,2020-06-02,16/787968,16,16787968,2020-02-11,39049,06083,,2020,1,0,0,0,0,0,1,1,1
