10619196,utility,10619196,2020-04-14,16/734216,16,16734216,2020-01-03,06073,06073,,2020,0,0,0,0,0,0,0,0,0
10631145,utility,10631145,2020-04-21,16/737475,16,16737475,2020-01-08,,,,2020,1,0,0,0,0,0,1,1,1
10631145,utility,10631145,2020-04-21,16/737475,16,16737475,2020-01-08,06085,,,2020,1,0,0,0,0,0,1,1,1
10636158,utility,10636158,2020-04-28,16/741620,16,16741620,2020-01-13,32003,32003,,2020,0,0,0,0,0,0,0,0,0
10636158,utility,10636158,2020-04-28,16/741620,16,16741620,2020-01-13,,32003,,2020,0,0,0,0,0,0,0,0,0
10639901,utility,10639901,2020-05-05,16/736298,16,16736298,2020-01-07,,,,2020,0,0,0,0,0,0,0,0,0
10650821,utility,10650821,2020-05-12,16/790102,16,16790102,2020-02-13,06085,06085,,2020,1,0,0,0,1,0,1,1,1
10650821,utility,10650821,2020-05-12,16/790102,16,16790102,2020-02-13,,06085,,2020,1,0,0,0,1,0,1,1,1
10650821,utility,10650821,2020-05-12,16/790102,16,16790102,2020-02-13,06081,06085,,2020,1,0,0,0,1,0,1,1,1
10653723,utility,10653723,2020-05-19,16/746416,16,16746416,2020-01-17,06059,06081,,2020,0,0,0,0,0,0,0,0,0
10653723,utility,10653723,2020-05-19,16/746416,16,16746416,2020-01-17,12057,06081,,2020,0,0,0,0,0,0,0,0,0
10653723,utility,10653723,2020-05-19,16/746416,16,16746416,2020-01-17,42003,06081,,2020,0,0,0,0,0,0,0,0,0
10661585,utility,10661585,2020-05-26,16/784568,16,16784568,2020-02-07,,,,2020,0,0,0,0,0,0,0,0,0
10663131,utility,10663131,2020-05-26,16/734312,16,16734312,2020-01-04,,,,2020,0,0,0,0,0,0,0,0,0
10666263,utility,10666263,2020-05-26,16/743915,16,16743915,2020-01-15,06059,06073,,2020,,,,,,,,,
10666263,utility,10666263,2020-05-26,16/743915,16,16743915,2020-01-15,06081,06073,,2020,,,,,,,,,
10666263,utility,10666263,2020-05-26,16/743915,16,16743915,2020-01-15,06073,06073,,2020,,,,,,,,,
10666263,utility,10666263,2020-05-26,16/743915,16,16743915,2020-01-15,06067,06073,,2020,,,,,,,,,
10668397,utility,10668397,2020-06-02,16/734766,16,16734766,2020-01-06,12099,45045,,2020,0,0,0,0,0,0,0,0,0
10668397,utility,10668397,2020-06-02,16/734766,16,16734766,2020-01-06,45045,45045,,2020,0,0,0,0,0,0,0,0,0
