7922502,utility,7922502,2011-04-12,13/005796,13,13005796,2011-01-13,,,,2011,0,0,0,0,0,0,0,0,0
7928849,utility,7928849,2011-04-19,12/984116,12,12984116,2011-01-04,,34013,,2011,0,0,0,0,0,0,0,0,0
7928849,utility,7928849,2011-04-19,12/984116,12,12984116,2011-01-04,34039,34013,,2011,0,0,0,0,0,0,0,0,0
7928849,utility,7928849,2011-04-19,12/984116,12,12984116,2011-01-04,36071,34013,,2011,0,0,0,0,0,0,0,0,0
7945481,utility,7945481,2011-05-17,12/984605,12,12984605,2011-01-05,,36047,,2011,0,0,0,0,0,0,0,0,0
7952430,utility,7952430,2011-05-31,13/010772,13,13010772,2011-01-20,,,,2011,0,0,0,0,0,0,0,0,0
7954538,utility,7954538,2011-06-07,12/931644,12,12931644,2011-02-07,42069,42069,,2011,0,0,0,0,0,0,0,0,0
7961688,utility,7961688,2011-06-14,13/018143,13,13018143,2011-01-31,,,,2011,0,0,0,0,0,0,0,0,0
7967314,utility,7967314,2011-06-28,12/930376,12,12930376,2011-01-05,48439,,,2011,0,0,0,0,0,0,0,0,0
7976329,utility,7976329,2011-07-12,13/022400,13,13022400,2011-02-07,,34023,,2011,0,0,0,0,0,0,0,0,0
7976400,utility,7976400,2011-07-12,12/983905,12,12983905,2011-01-04,36117,,,2011,0,0,0,0,0,0,0,0,0
7977138,utility,7977138,2011-07-12,12/929795,12,12929795,2011-02-16,,,,2011,0,0,0,0,0,0,0,0,0
7977836,utility,7977836,2011-07-12,13/023211,13,13023211,2011-02-08,,,,2011,0,0,0,0,0,0,0,0,0
7980363,utility,7980363,2011-07-19,13/013452,13,13013452,2011-01-25,,,,2011,0,0,0,0,0,0,0,0,0
7980674,utility,7980674,2011-07-19,13/018360,13,13018360,2011-01-31,,,,2011,0,0,0,0,0,0,0,0,0
7980868,utility,7980868,2011-07-19,13/019994,13,13019994,2011-02-02,,,,2011,0,0,0,0,0,0,0,0,0
7981644,utility,7981644,2011-07-19,13/036740,13,13036740,2011-02-28,10003,10003,,2011,0,0,0,0,0,0,0,0,0
7981644,utility,7981644,2011-07-19,13/036740,13,13036740,2011-02-28,42045,10003,,2011,0,0,0,0,0,0,0,0,0
7982544,utility,7982544,2011-07-19,13/036179,13,13036179,2011-02-28,48113,25017,,2011,0,0,0,0,0,0,0,0,0
7982544,utility,7982544,2011-07-19,13/036179,13,13036179,2011-02-28,48085,25017,,2011,0,0,0,0,0,0,0,0,0
7988498,utility,7988498,2011-08-02,13/004502,13,13004502,2011-01-11,,,,2011,0,0,0,0,0,0,0,0,0
7988498,utility,7988498,2011-08-02,13/004502,13,13004502,2011-01-11,48287,,,2011,0,0,0,0,0,0,0,0,0
7990021,utility,7990021,2011-08-02,13/012603,13,13012603,2011-01-24,,,,2011,0,0,0,0,0,0,0,0,0
7991275,utility,7991275,2011-08-02,13/033864,13,13033864,2011-02-24,,,,2011,0,0,0,0,0,0,0,0,0
7994471,utility,7994471,2011-08-09,13/026591,13,13026591,2011-02-14,26139,26139,,2011,0,0,0,0,0,0,0,0,0
7994471,utility,7994471,2011-08-09,13/026591,13,13026591,2011-02-14,,26139,,2011,0,0,0,0,0,0,0,0,0
7994683,utility,7994683,2011-08-09,12/984962,12,12984962,2011-01-05,27061,27061,,2011,0,0,0,0,0,0,0,0,0
7994683,utility,7994683,2011-08-09,12/984962,12,12984962,2011-01-05,53073,27061,,2011,0,0,0,0,0,0,0,0,0
7998890,utility,7998890,2011-08-16,13/006771,13,13006771,2011-01-14,45045,45083,,2011,0,0,0,0,0,0,0,0,0
8000296,utility,8000296,2011-08-16,13/041139,13,13041139,2011-03-04,,,,2011,0,0,0,0,0,0,0,0,0
8000496,utility,8000496,2011-08-16,13/010667,13,13010667,2011-01-20,06001,06085,,2011,0,0,0,0,0,0,0,0,0
8000496,utility,8000496,2011-08-16,13/010667,13,13010667,2011-01-20,06085,06085,,2011,0,0,0,0,0,0,0,0,0
8000496,utility,8000496,2011-08-16,13/010667,13,13010667,2011-01-20,06081,06085,,2011,0,0,0,0,0,0,0,0,0
8002614,utility,8002614,2011-08-23,13/020497,13,13020497,2011-02-03,24045,51760,,2011,0,0,0,0,0,0,0,0,0
8002614,utility,8002614,2011-08-23,13/020497,13,13020497,2011-02-03,22033,51760,,2011,0,0,0,0,0,0,0,0,0
8004346,utility,8004346,2011-08-23,13/072010,13,13072010,2011-03-25,,,,2011,0,0,0,0,0,0,0,0,0
8005299,utility,8005299,2011-08-23,13/004102,13,13004102,2011-01-11,,36055,,2011,1,0,0,0,0,1,0,0,0
8005564,utility,8005564,2011-08-23,13/046634,13,13046634,2011-03-11,,,,2011,0,0,0,0,0,0,0,0,0
8005819,utility,8005819,2011-08-23,13/031058,13,13031058,2011-02-18,06085,06085,,2011,1,0,0,1,0,1,1,1,1
8005819,utility,8005819,2011-08-23,13/031058,13,13031058,2011-02-18,06001,06085,,2011,1,0,0,1,0,1,1,1,1
8006016,utility,8006016,2011-08-23,13/008092,13,13008092,2011-01-18,06085,06081,,2011,0,0,0,0,0,0,0,0,0
8006889,utility,8006889,2011-08-30,13/009070,13,13009070,2011-01-19,12086,27053,,2011,0,0,0,0,0,0,0,0,0
8006889,utility,8006889,2011-08-30,13/009070,13,13009070,2011-01-19,,27053,,2011,0,0,0,0,0,0,0,0,0
8006889,utility,8006889,2011-08-30,13/009070,13,13009070,2011-01-19,12011,27053,,2011,0,0,0,0,0,0,0,0,0
